Wavelength [nm],led.RAW8,peaks.RAW8,sodium.RAW8
389.067,-14.80000019,31.39999962,-13
389.144,2,40.40000153,-37.20000076
389.221,7.599999905,55,-16
389.298,25.39999962,46.59999847,6.599999905
389.375,20,80.80000305,1
389.452,11.39999962,53.79999924,14.19999981
389.529,23.20000076,30.39999962,-3.799999952
389.606,11.60000038,37.20000076,-42.79999924
389.683,-8,42.20000076,-13
389.760,27.79999924,45.59999847,-6
389.837,3,36.79999924,18
389.914,26.79999924,57.20000076,11.80000019
389.991,22.20000076,42.79999924,24.20000076
390.068,25.20000076,44.59999847,5.199999809
390.145,-25.79999924,35.79999924,-25.79999924
390.222,-13,49.20000076,-13.80000019
390.299,-18.60000038,24.39999962,-9.800000191
390.376,18.20000076,36.79999924,5.400000095
390.453,10.80000019,66,-5.199999809
390.530,-12.39999962,7,-5.599999905
390.607,6.800000191,22.20000076,-23.79999924
390.684,4.599999905,72,-4.800000191
390.761,23,60.59999847,0.600000024
390.838,-4.199999809,20,10.60000038
390.915,-7.800000191,16.79999924,6
390.992,-13.60000038,65.19999695,-2.200000048
391.069,-12.60000038,25.60000038,-5
391.146,-4.800000191,36.40000153,-20.79999924
391.223,-16.79999924,37,-14
391.300,6.199999809,54.79999924,0.400000006
391.377,26,34.79999924,42.79999924
391.454,9.199999809,43.20000076,-25.60000038
391.531,0,38.79999924,-5.199999809
391.608,-1,12.60000038,-31.39999962
391.685,4.199999809,-0.400000006,3.400000095
391.762,31.20000076,65,-7.400000095
391.839,-2.799999952,27.39999962,2.799999952
391.916,14.60000038,46,-9.399999619
391.993,4.400000095,47.79999924,2.200000048
392.070,-16.20000076,6.199999809,-51.40000153
392.147,-27.20000076,24.79999924,-31.39999962
392.224,0.800000012,10.19999981,-10
392.300,6.800000191,9,17.20000076
392.377,15.60000038,29.20000076,17
392.454,-9.199999809,1.200000048,-7
392.531,-4,55.40000153,-39.40000153
392.608,-38.59999847,16,-6
392.685,0.400000006,-19.79999924,-38.20000076
392.762,-2.599999905,4,-24.39999962
392.839,13.60000038,38.79999924,8.600000381
392.916,7,1.399999976,-33
392.992,20.20000076,41.59999847,-26.39999962
393.069,3.799999952,24.79999924,-1.200000048
393.146,5.800000191,6.199999809,-9.800000191
393.223,4.400000095,50.79999924,25.20000076
393.300,10.39999962,60.20000076,-5.599999905
393.377,-0.400000006,35.20000076,-8.600000381
393.454,3.400000095,43,-29.60000038
393.530,-8,8,-9
393.607,-4.599999905,32.40000153,-11.80000019
393.684,-3.400000095,2,-10.39999962
393.761,26,46.40000153,-4.400000095
393.838,-8.399999619,29.60000038,10.39999962
393.915,15.80000019,5.199999809,6.400000095
393.991,6.800000191,15.19999981,24.20000076
394.068,-6.599999905,23.60000038,-28.20000076
394.145,-19.79999924,14.19999981,13.39999962
394.222,13,20.79999924,-11.60000038
394.299,30.39999962,78,13
394.375,11.39999962,23,-3.799999952
