 ,Area,Mean,Min,Max,Angle,Length
1,413,47.193,35.230,57.695,127.314,412.412
2,452,47.374,35.631,57.034,127.429,450.821
3,496,46.669,32.760,57.808,127.286,495.213
4,523,46.801,31.886,57.693,127.221,522.410
5,563,46.203,32.047,57.573,127.196,562.409
6,592,46.270,32.270,57.890,127.297,590.816
7,625,45.776,31.981,57.966,127.311,623.618
8,645,45.755,32.250,57.892,127.297,643.618
