 ,Area,Mean,Min,Max,Angle,Length
1,409,51.766,37.555,63.075,138.972,408.274
2,442,51.924,39.469,63.143,138.863,440.822
3,487,51.105,37.709,63.242,138.925,485.507
4,509,51.155,37.612,63.021,138.910,508.178
5,550,50.477,36.098,63.128,138.991,548.631
6,574,50.473,36.038,63.138,138.965,572.713
7,611,49.917,34.136,63.128,138.991,609.590
8,630,49.923,34.816,62.873,138.865,629.343
