625,1250,2500,5000,10000,20000
227.52,219.698,218.247,196.892,91.6,31.273
228.029,218.746,221.142,191.312,152.722,60.477
228.255,218.429,220.9,192.72,217.356,98.682
228.108,220.984,219.155,198.118,253.022,127.136
229.039,221.672,216.945,203.849,254,122.386
230.265,222.254,217.279,204.398,254,86.045
230.101,220.476,220.1,204.409,238.856,45.318
229.114,218.947,221.589,206.441,169.989,21.886
229.141,219.429,219.164,206.204,98.356,21
230.359,222.593,218.155,199.355,50.778,41.932
232.797,225.196,220.11,191.021,26.867,77.182
233.294,223.439,220.123,189.108,18.367,113.023
231.918,220.646,212.822,194.075,19.033,128.341
229.232,220.36,204.89,199.183,18.456,108.568
228.912,220.566,200.493,188.925,15.578,66.977
231.621,218.492,198.95,154.086,19.489,33.568
234.448,215.619,192.434,105.129,41.267,19.75
231.958,214.635,168.653,61.839,85.222,27.364
229.513,212.672,126.041,31.151,145.089,55.091
228.817,204.735,82.009,14.796,211.3,94.773
228.794,181.46,47.397,11.86,253.044,126.5
225.507,141.27,24.639,15.054,254,127.341
223.229,95.862,15.315,14.935,254,93.545
221.866,57.646,16.658,11.409,246.089,51.864
220.395,30.788,18.781,18.925,182.411,25.455
212.144,17.09,15.868,50.441,109.889,20.523
191.869,15.561,16.589,102.968,58.467,36.932
155.569,18.735,38.311,166.688,30.4,70.477
112.428,17.222,86.301,222.118,19.333,109.159
71.958,15.021,151.397,248.075,18.078,131.227
40.572,28.566,216.776,247.183,18.511,117.364
22.729,68.116,252.84,239.935,15.7,78.136
18.18,131.407,253.653,229.462,17.278,40.341
20.284,201.672,252.05,217.021,35.222,21.727
20.16,249.698,246.781,205.376,75.833,25.045
18.889,253.746,237.009,197.645,133.944,48.705
31.016,253.439,223.046,196.452,201.211,86.318
67.65,252.021,214.945,202.14,251.244,121.773
129.033,244.286,212.393,209.441,254,131.705
198.693,232.344,214.584,210.645,254,104.091
239.003,222.683,218.84,209.086,251.244,61.818
250.389,217.185,221.594,210.28,198.533,29.818
252.722,216.926,221.863,211.462,124.4,20.182
252.846,221.587,222.269,208.774,67.778,32.977
250.876,226.275,223.237,200.462,34.589,62.205
243.438,227.169,224.685,195.151,20.7,100.864
235.51,225.683,224.406,197.495,18.556,128.182
229.35,225.228,223.215,204.118,19.2,122.955
227.846,226.148,222.47,203.333,16.567,86.659
230.987,228.418,223.347,179.344,16.5,46.364
235.542,227.91,223.858,132.301,30.478,23.091
237.435,227.354,223.932,82.978,65.811,21.864
237.526,226.233,222.667,44.763,120.867,41.114
237,226.053,221.507,20.903,188.844,76.023
238.431,225.476,221.393,11.849,246.533,114.841
240.869,224.878,222.301,13.903,254,134.091
241.696,224.455,222.726,16.043,254,115.386
239.948,224.889,221.735,12.989,253.989,72.795
239.876,225.36,221.466,14.118,216.656,36.955
239.974,224.862,222.237,35.172,141.4,21.023
240.552,223.921,222.521,80.849,78.211,27.932
240.977,223.328,223.635,143.312,39.656,53.932
241.304,223.402,223.854,206.538,22.511,93.091
241.474,224.063,224.201,245.538,18.422,129
241.507,224.762,224.42,250.032,19.011,135.227
241.297,224.937,224.041,246.312,17.267,103.773
241.078,224.222,223.402,239.624,16.289,59.795
240.598,224.037,222.438,227.151,24.967,28.932
240.748,224.365,223.018,214.097,52.633,21.818
240.435,224.307,225.05,204.946,100.522,38.091
240.111,224.307,227.164,200,165.778,71.591
240.471,224.921,227.484,202.462,229.211,111.227
240.526,225.042,225.005,209.527,250.322,133.886
241.317,225.571,223.05,213.806,252.933,120.659
242.67,225.968,223.817,212.968,253.589,80.682
243.719,226.206,229.269,213.806,229.367,41.591
243.873,226.291,231.311,215.548,157.289,21.318
244.108,226.72,228.434,215.957,90.889,24.818
243.69,226.434,225.484,208.462,46.511,48.818
243.513,226.481,227.018,199.903,24.344,84.568
243.905,226.243,226.461,197.806,18.6,
244.101,226.069,221.201,203.849,19.756,
244.454,226.307,216.037,208.258,18.356,
244.644,226.741,213.858,194.441,15.878,
244.415,226.349,208.374,153.204,22.067,
244.222,226.503,192.365,101.763,47.433,
244.242,227.392,158.685,58.387,94.067,
244.49,227.434,113.767,28.656,159.689,
244.676,227.439,72.589,13.968,226.6,
244.614,227.185,42.338,13.161,254,
244.971,226.212,22.881,16.43,254,
245.196,225.746,16.032,14.86,254,
245.693,225.476,18.123,12.677,244.633,
245.712,225.926,18.945,24.688,174.889,
246.023,226.429,15.228,61.817,103.378,
245.84,226.656,19.936,120.226,53.433,
245.856,226.243,48.416,188.301,26.9,
245.683,226.265,103.009,239.979,18.8,
245.507,226.106,173.269,253.161,19.133,
245.085,225.672,237.685,252.129,18.144,
245.729,226.148,253.913,247.484,15.556,
245.895,226.884,253.607,237.645,19.233,
246.556,226.968,252.306,223.667,40.644,
246.676,226.937,248.845,212.344,84.244,
246.5,226.196,240.406,204.925,147.544,
245.536,225.931,229.457,203.946,216.4,
245.389,225.466,222.553,210.021,253.333,
245.042,226.132,221.411,217.839,254,
245.337,226.545,224.315,217.817,254,
245.742,227.508,228.498,217.591,251.944,
245.817,227.556,230.361,218.989,193.2,
245.663,227.598,229.493,218.505,119.444,
245.993,227.19,228.936,213.989,64.056,
245.673,227.402,230.105,205.667,32.4,
245.889,227.138,231.228,199.849,20.6,
245.739,227.788,231.571,203.086,19.522,
245.827,227.825,230.849,209.699,19.367,
245.49,228.349,231.014,206.183,16.544,
245.33,228.095,230.393,173.183,17.6,
245.667,228.439,230.502,121.753,33.544,
245.83,228.101,230.42,73.839,71.722,
245.837,228.778,230.548,38.817,132.989,
246.095,228.27,231.018,18.183,204.267,
245.493,229.185,231.365,12.495,251.689,
245.324,228.725,231.584,15.398,254,
244.745,229.196,230.58,16.462,254,
245.062,229.206,229.489,13.344,253.744,
245.033,229.725,229.694,17.484,208.489,
245.582,229.265,230.493,43.183,135.044,
245.477,229.069,230.356,93.29,74.711,
245.654,228.852,229.753,160.591,37.522,
